planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
1100101,Stülerstraße,565,503,286,3,28,34,286,28,170,12,580.7906976744187,530.5,208.7509891649196,569.0,569.0,97.58073580374356,580.3809523809524,583.0,97.99156912228534,676.5,675.0,130.05517223888856,760.4666666666667,740.0,100.35712421623279,876.0,779.0,352.4361137649124
1100102,Großer Tiergarten,1680,1408,1304,11,167,105,1304,167,626,65,627.5004284490145,585.0,227.86745671553223,647.6,538.0,205.74814701474227,644.0519480519481,641.0,110.94730493934716,797.0,775.0,175.8968614909116,878.495238095238,842.0,183.66671968381732,890.0344827586207,869.0,277.0383420813075
1100103,Lützowstraße,1148,1066,752,13,36,46,752,36,471,12,565.7362318840579,541.5,173.8617387483076,590.6363636363636,497.0,282.4734581256344,654.1428571428571,606.0,217.4775789696431,756.6296296296297,660.0,254.91659995863924,783.6428571428571,746.0,106.8842703710291,805.0,724.0,362.51715230356433
1100104,Körnerstraße,433,388,345,4,17,27,345,17,185,8,588.8167202572347,561.0,192.82993136234995,536.5,536.5,34.64823227814083,636.0666666666667,644.0,88.80111539411031,680.9166666666666,658.5,94.75082953182888,739.4444444444445,740.0,124.35444414164607,917.68,939.0,208.92397341297777
1100205,Wilhelmstraße,943,739,663,2,69,135,663,69,344,39,625.9590163934427,586.0,192.456908683945,555.0,555.0,,626.4761904761905,621.0,83.8525697651611,752.0338983050848,733.0,148.23280456206146,803.4888888888889,783.0,102.05449128734702,918.625,904.0,241.85909549171816
1100206,Unter den Linden,2335,2035,1886,16,200,100,1886,200,955,79,618.1314418066011,582.0,196.47106109118906,532.0769230769231,522.0,84.43090028583683,664.5149700598803,642.0,143.96551864137405,806.1486486486486,777.5,196.08495884844606,902.4545454545455,832.0,266.34139078828736,967.1818181818181,887.0,428.71631300137483
1100207,Leipziger Straße,1386,1198,1059,22,113,75,1059,113,612,32,597.1575129533679,562.0,180.282627522286,503.0,493.0,73.14369419163896,645.23,632.5,144.5795614738113,751.3461538461538,737.0,114.50580736399317,792.5238095238095,773.0,145.76112066435513,861.4754098360655,817.0,302.2955290526902
1100308,Charitéviertel,2015,1773,939,10,158,52,939,158,457,45,616.4492234169653,575.0,205.87402397195657,462.7142857142857,481.0,97.91784700403069,590.0833333333334,558.0,152.63116564867326,718.8110236220473,706.0,168.75782085502743,855.3181818181819,800.5,160.19729749865982,788.8809523809524,655.0,374.2760949327317
1100309,Oranienburger Straße,1973,1756,1472,12,133,84,1472,133,806,56,608.1317144959529,566.0,202.34574557768968,491.1,492.5,110.87575629204672,595.2682926829268,578.0,117.82127846249418,676.10101010101,636.0,146.23467964057474,839.8571428571429,727.0,503.6522346808011,951.6896551724138,813.0,402.58668923257693
1100310,Alexanderplatzviertel,4758,4403,4103,47,212,142,4103,212,2523,81,565.1429346352048,524.0,200.96888192256654,458.45454545454544,467.0,82.85985567099537,582.2369942196532,578.0,122.38001440511636,715.2922077922078,680.5,136.63466508756304,763.8453608247422,702.0,183.60483723011097,852.3211009174312,729.0,351.76206922709116
1100311,Karl-Marx-Allee,1578,1468,1305,22,63,47,1305,63,817,24,551.8346253229975,512.0,192.63521504625146,453.7142857142857,448.5,84.25093340859661,560.9230769230769,549.0,223.69165105370212,673.9736842105264,646.0,122.96197760857255,783.5862068965517,719.0,268.7079558130749,827.2972972972973,658.0,394.2086915486422
1100312,Heine-Viertel West,1054,958,845,11,56,39,845,56,510,20,567.9920844327177,530.0,172.50541680659686,481.3333333333333,439.0,97.96172722037927,568.0227272727273,574.0,87.93535909084305,682.6153846153846,691.0,75.26431159048947,761.2173913043479,668.0,298.8059504886589,981.6666666666666,896.0,376.22323569514293
1100313,Heine-Viertel Ost,1095,1012,894,17,41,42,894,41,597,21,565.3683559950556,522.0,186.9427833454461,457.7142857142857,435.0,83.10181759692196,525.2,519.0,79.08922734704731,676.1875,582.5,220.73885278544023,660.0833333333334,606.0,185.75063149677118,737.8181818181819,685.0,277.47122086640064
1100414,Nordbahnhof,400,366,317,2,24,10,317,24,185,6,583.7331081081081,546.0,203.11534600195358,542.5,542.5,133.64318164425748,564.1904761904761,534.0,126.55734630894369,730.3888888888889,676.5,222.94978038823766,769.2857142857143,701.0,110.26288932322045,947.5555555555555,769.0,462.66054270682923
1100415,Invalidenstraße,1208,1102,999,12,58,48,999,58,582,23,593.4145810663765,545.0,191.9679673391597,471.6666666666667,474.0,98.54440623394106,584.0535714285714,573.0,93.75837798062871,674.7560975609756,634.0,160.22511982953935,750.3103448275862,707.0,179.7836206285362,847.5227272727273,615.0,470.5984062197566
1100416,Arkonaplatz,927,861,766,10,27,39,766,27,426,7,579.4334763948498,542.0,185.15798124338733,637.8888888888889,514.0,348.60344391745633,541.7619047619048,511.0,117.4171643167662,580.8461538461538,514.0,173.86481633434167,717.0,673.0,87.00191568772111,808.84375,706.5,383.43844266650694
1200517,Huttenkiez,884,748,687,3,64,72,687,64,337,31,634.6807511737089,591.0,192.49989159806185,550.6666666666666,519.0,63.70504951205463,609.8333333333334,596.0,115.56224329542803,683.3255813953489,674.0,118.91407881127819,787.4594594594595,744.0,170.0023847209527,835.8928571428571,790.5,250.89952198015467
1200518,Beusselkiez,764,712,618,9,23,29,618,23,343,3,593.9656357388316,573.5,154.2835382559968,567.0,550.5,139.64444646519757,593.9090909090909,611.0,116.8507206186205,676.5555555555555,675.0,104.53601187044481,719.3333333333334,706.0,67.00248751601191,821.0384615384615,861.0,201.82239335995018
1200519,Emdener Straße,889,819,723,11,27,43,723,27,328,10,631.6810730253353,604.0,181.84481554265562,522.3333333333334,507.0,95.19978991573458,588.95,592.5,153.98102241236708,614.6,611.0,114.56115023365093,781.9090909090909,724.0,176.76224401463938,930.7837837837837,919.0,326.93009235199696
1200520,Bremer Straße,1081,996,884,12,36,48,884,36,427,13,617.4488286066585,589.0,178.83184952056823,528.0,513.5,82.23359189749428,587.7407407407408,566.0,115.28079184608757,816.6315789473684,761.0,286.08239110949137,815.8235294117648,746.0,218.13219480802164,947.8,908.0,375.1633627074327
1200521,Zwinglistraße,578,540,469,6,20,16,469,20,276,7,586.7291666666666,553.0,182.09074069822395,526.0,555.5,81.7353452715939,514.9285714285714,515.0,82.2916616821995,581.1538461538462,506.0,176.34712272194204,664.4285714285714,687.0,55.823702083306095,700.5454545454545,726.0,292.42481551207777
