planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
01100101,Stülerstraße,712,452,414,6,51,18,351,38,174,32,633.6410256410256,602.0,219.09,732.0,608.5,285.31,597.2558139534884,588.0,107.31,711.5238095238095,673.0,165.54,794.9666578947366,748.6500000000001,214.73,676.1538461538462,675.0,217.54
01100102,Großer Tiergarten,1598,1379,1326,14,152,65,1137,99,529,74,671.6218117854002,620.0,261.14,574.3076923076923,585.0,89.74,625.6638655462185,620.0,136.12,773.8859649122807,735.0,201.46,829.1045959595962,797.887,130.63,775.0754716981132,771.0,249.17
01100103,Lützowstraße,1097,871,796,12,45,33,686,28,365,24,615.5393586005831,587.5,217.22,448.1818181818182,458.0,114.54,644.6944444444445,616.5,184.39,702.3823529411765,699.5,137.39,789.7297142857142,773.102,109.51,899.4615384615385,809.5,318.3
01100104,Körnerstraße,445,399,363,4,24,22,305,8,141,5,641.3737704918033,608.0,229.18,472.5,498.0,116.64,658.3125,647.0,74.93,784.625,746.0,131.1,870.4625,849.7470000000001,129.06,851.8235294117648,842.0,163.14
01100205,Wilhelmstraße,924,798,754,4,91,35,661,50,286,48,655.7518910741301,625.0,208.86,640.0,593.0,165.14,599.8055555555555,612.0,111.0,717.6447368421053,731.0,137.29,776.3467800000002,778.415,86.99,851.75,788.0,270.12
01100206,Unter den Linden,2322,2029,1976,16,212,78,1732,143,771,124,655.492494226328,624.0,218.26,523.6923076923077,528.0,105.79,612.8934911242603,607.0,138.81,766.1497005988024,742.0,167.86,812.9947482517482,769.113,207.77,848.9074074074074,810.0,248.43
01100207,Leipziger Straße,1403,1228,1125,16,113,60,997,73,485,63,638.8665997993982,605.0,201.23,508.5,509.5,109.64,578.3444444444444,561.0,105.55,724.4615384615385,701.0,119.18,762.5143424657537,748.04,137.56,879.8260869565217,742.5,375.77
01100308,Charitéviertel,2175,1219,1148,7,140,67,1006,89,561,66,614.3836978131212,573.0,233.16,500.2,474.0,184.86,575.3207547169811,544.5,133.8,733.3818181818182,715.5,156.46,802.2081573033706,779.303,146.55,915.3725490196078,818.0,403.29
01100309,Oranienburger Straße,2230,1814,1702,16,188,89,1482,99,712,89,643.1093117408907,608.5,222.93,501.0,511.0,136.09,585.4609929078014,591.0,101.98,713.0215827338129,674.0,153.42,751.5197979797979,710.807,164.3,999.0655737704918,997.0,446.82
01100310,Alexanderplatzviertel,5080,4711,4507,43,259,110,3873,175,2060,149,626.1704105344694,586.0,230.81,443.75,461.0,123.64,555.6632124352332,545.0,113.86,721.8112244897959,702.5,147.2,766.3860857142852,729.307,171.75,969.9102564102565,938.0,386.2
01100311,Karl-Marx-Allee,1712,1558,1434,15,103,51,1261,53,748,51,604.3116574147502,551.0,228.71,531.9090909090909,517.0,109.7,487.0422535211268,422.0,177.69,686.0384615384615,659.5,153.96,694.1467735849055,680.1,104.77,849.3421052631579,677.0,409.57
01100312,Heine-Viertel West,1296,1170,1068,11,78,48,953,41,561,36,612.1678908709339,572.0,200.93,501.5,482.5,52.31,567.2678571428571,547.0,117.91,679.8363636363637,671.0,125.06,782.6541219512196,740.82,205.28,839.7941176470588,773.0,408.38
01100313,Heine-Viertel Ost,1258,1162,1056,14,63,33,943,21,607,20,590.7550371155885,536.0,208.74,491.8333333333333,483.0,55.99,529.7027027027027,513.0,115.32,647.025,619.5,146.07,691.0889047619048,638.92,198.86,834.6153846153846,799.5,343.27
01100414,Nordbahnhof,541,483,427,5,38,20,387,21,201,18,635.7519379844962,584.0,232.78,459.0,429.0,106.08,518.3793103448276,504.0,114.29,699.4193548387096,678.0,115.06,729.3942857142857,684.716,137.74,993.5625,748.0,547.49
01100415,Invalidenstraße,1233,1116,1035,12,63,54,914,28,546,25,608.1903719912473,560.5,215.34,450.44444444444446,450.0,100.12,541.0816326530612,550.0,136.63,677.9333333333333,632.0,158.34,696.700142857143,686.447,168.75,877.0,722.0,384.95
01100416,Arkonaplatz,984,879,817,6,36,69,712,11,370,11,630.1320224719101,588.0,229.28,400.8333333333333,407.0,77.38,526.8461538461538,519.0,132.97,589.304347826087,569.0,167.39,712.5329090909091,753.363,102.75,869.1428571428571,646.0,448.53
01200517,Huttenkiez,899,776,716,5,59,63,637,31,320,27,648.8084772370487,600.0,228.19,465.75,476.5,70.84,613.0,583.0,229.78,689.2325581395348,687.0,131.05,807.6824516129032,724.31,319.95,723.5116279069767,661.0,326.34
01200518,Beusselkiez,728,669,600,8,26,33,524,11,266,10,629.3396946564885,593.5,204.16,525.2857142857143,523.0,101.56,602.8666666666667,595.0,173.88,712.8,686.0,114.23,706.3509090909091,670.33,86.71,756.0,677.0,259.04
01200519,Emdener Straße,1003,911,827,14,40,52,714,11,307,11,668.1610644257703,628.5,221.92,457.09090909090907,437.0,55.61,624.3636363636364,618.5,145.69,761.5416666666666,762.0,150.67,715.7371818181817,688.357,61.27,850.78125,702.0,369.81
01200520,Bremer Straße,1080,991,917,10,43,45,799,13,363,10,657.3116395494368,617.0,224.65,577.7142857142857,571.0,138.28,620.695652173913,585.0,171.77,795.8,759.0,185.68,813.1138461538461,843.414,148.92,823.0833333333334,735.5,334.89
01200521,Zwinglistraße,572,538,479,8,7,27,417,3,212,3,629.7218225419664,595.0,236.32,424.8,419.0,76.27,560.6,558.0,115.28,605.2,639.0,72.08,702.0219999999999,712.017,139.59,714.8235294117648,603.0,366.11
01200522,Elberfelder Straße,1403,1323,1198,19,35,45,1039,9,561,7,606.924927815207,580.0,211.65,448.75,397.5,206.03,595.7647058823529,597.0,131.96,673.85,647.0,179.21,761.1271111111112,716.994,187.07,725.5151515151515,594.0,347.87
01200623,Stephankiez,1438,1348,1219,10,40,50,1088,14,518,12,663.0955882352941,612.5,231.03,493.75,482.5,110.51,553.0,545.5,83.53,698.551724137931,646.0,124.53,715.9770714285715,648.498,147.91,1022.7692307692307,1045.0,381.84
01200624,Heidestraße,750,657,591,8,58,35,512,33,283,26,621.275390625,579.5,224.25,467.4,439.0,136.99,561.6938775510204,542.0,109.78,711.7906976744187,692.0,133.35,786.2724848484847,775.67,117.65,836.25,729.5,395.23
01200625,Lübecker Straße,1015,950,857,18,38,27,760,19,361,17,659.6842105263158,610.5,221.57,529.2142857142857,522.5,116.06,556.6129032258065,510.0,103.46,634.0,598.0,117.6,731.8646315789474,722.11,139.51,811.8,689.0,358.99
01200626,Thomasiusstraße,1074,998,938,4,38,38,814,15,398,14,650.2027027027027,605.0,214.47,457.6666666666667,454.0,75.57,595.0370370370371,562.0,130.75,716.3333333333334,655.0,196.43,760.8445999999999,716.487,218.49,798.5862068965517,700.0,308.15
01200627,Zillesiedlung,788,755,673,13,19,14,583,5,300,5,648.9571183533448,595.0,232.6,501.55555555555554,483.0,76.35,596.8333333333334,559.0,157.98,766.8,721.5,210.85,681.19,685.81,105.28,739.3,700.5,279.3
01200628,Lüneburger Straße,3332,3066,2934,27,194,71,2580,125,1422,100,615.2519379844962,568.0,246.14,452.85714285714283,456.0,108.39,498.5855263157895,444.5,135.38,733.9724137931034,732.0,160.99,801.0935839999994,783.32,154.49,756.8333333333334,695.0,290.24
