planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
01100101,Stülerstraße,565,503,286,3,28,34,258,18,170,15,580.7906976744187,530.5,208.75,569.0,569.0,97.58,580.3809523809524,583.0,97.99,676.5,675.0,130.06,752.2309444444446,740.0485,98.01,876.0,779.0,352.44
01100102,Großer Tiergarten,1676,1403,1302,11,167,106,1165,119,624,75,628.0394849785408,586.0,227.61,647.6,538.0,205.75,644.0519480519481,641.0,110.95,797.0,775.0,175.9,870.8449495798316,842.51,178.01,888.5795454545455,866.0,275.78
01100103,Lützowstraße,1147,1065,752,13,36,46,690,21,471,19,565.7362318840579,541.5,173.86,590.6363636363636,497.0,282.47,654.1428571428571,606.0,217.48,756.6296296296297,660.0,254.92,758.935619047619,730.5,100.85,805.0,724.0,362.52
01100104,Körnerstraße,432,388,345,4,17,27,311,10,185,9,588.8167202572347,561.0,192.83,536.5,536.5,34.65,636.0666666666667,644.0,88.8,680.9166666666666,658.5,94.75,722.7239999999999,737.2415,129.28,917.68,939.0,208.92
01100205,Wilhelmstraße,947,743,664,2,69,135,611,49,345,43,625.2029459901801,586.0,193.21,555.0,555.0,,626.4761904761905,621.0,83.85,752.0338983050848,733.0,148.23,799.0304285714286,773.203,99.47,918.625,904.0,241.86
01100206,Unter den Linden,2336,2035,1886,16,200,100,1727,120,955,86,618.1314418066011,582.0,196.47,532.0769230769231,522.0,84.43,664.5149700598803,642.0,143.97,806.1486486486486,777.5,196.08,906.5235499999999,828.9485,301.07,967.1818181818181,887.0,428.72
01100207,Leipziger Straße,1386,1198,1060,22,113,75,966,55,612,44,597.3447204968944,562.5,180.28,503.0,493.0,73.14,645.23,632.5,144.58,751.3461538461538,737.0,114.51,791.5015272727275,781.734,132.82,861.4754098360655,817.0,302.3
01100308,Charitéviertel,2017,1774,940,10,158,52,838,96,458,74,616.1527446300717,574.5,205.93,462.7142857142857,481.0,97.92,590.0833333333334,558.0,152.63,718.8110236220473,706.0,168.76,817.92,776.4659999999999,153.21,788.8809523809524,655.0,374.28
01100309,Oranienburger Straße,1973,1756,1472,12,133,84,1359,70,806,56,608.1317144959529,566.0,202.35,491.1,492.5,110.88,595.2682926829268,578.0,117.82,676.10101010101,636.0,146.23,840.3344714285716,727.62,503.7,951.6896551724138,813.0,402.59
01100310,Alexanderplatzviertel,4759,4403,4103,47,213,142,3687,122,2523,104,565.1429346352048,524.0,200.97,458.45454545454544,467.0,82.86,582.5,578.0,122.08,715.2774193548387,681.0,136.19,774.0839590163935,698.0944999999999,298.76,852.3211009174312,729.0,351.76
01100311,Karl-Marx-Allee,1576,1467,1305,22,62,47,1161,29,817,24,551.8346253229975,512.0,192.64,453.7142857142857,448.5,84.25,559.6078431372549,548.0,225.71,672.918918918919,640.0,124.48,783.1983448275862,719.61,268.49,827.2972972972973,658.0,394.21
01100312,Heine-Viertel West,1054,958,845,11,56,39,758,33,510,30,567.9920844327177,530.0,172.51,481.3333333333333,439.0,97.96,568.0227272727273,574.0,87.94,682.6153846153846,691.0,75.26,749.9168787878789,681.31,250.83,981.6666666666666,896.0,376.22
01100313,Heine-Viertel Ost,1094,1011,894,17,41,42,809,30,597,27,565.3683559950556,522.0,186.94,457.7142857142857,435.0,83.1,525.2,519.0,79.09,676.1875,582.5,220.74,665.9381333333334,606.845,173.93,737.8181818181819,685.0,277.47
01100414,Nordbahnhof,400,366,317,2,24,10,296,18,185,16,583.7331081081081,546.0,203.12,542.5,542.5,133.64,564.1904761904761,534.0,126.56,730.3888888888889,676.5,222.95,739.1938333333333,700.1600000000001,168.97,947.5555555555555,769.0,462.66
01100415,Invalidenstraße,1207,1101,999,12,58,48,919,29,582,22,593.4145810663765,545.0,191.97,471.6666666666667,474.0,98.54,584.0535714285714,573.0,93.76,674.7560975609756,634.0,160.23,750.8829310344828,707.33,179.75,847.5227272727273,615.0,470.6
01100416,Arkonaplatz,927,861,766,10,27,39,699,6,426,6,579.4334763948498,542.0,185.16,637.8888888888889,514.0,348.6,541.7619047619048,511.0,117.42,580.8461538461538,514.0,173.86,695.9373333333333,665.935,72.17,808.84375,706.5,383.44
01200517,Huttenkiez,883,747,688,4,64,72,639,39,337,33,634.6807511737089,591.0,192.5,550.6666666666666,519.0,63.71,609.8333333333334,596.0,115.56,683.3255813953489,674.0,118.91,786.4510512820511,744.627,165.72,835.8928571428571,790.5,250.9
