planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
1100101,Stülerstraße,622,364,322,6,45,22,176,16,580.8120567375887,544.0,184.7460605814942,527.6,538.0,112.59351668724092,575.4516129032259,585.0,137.71536799008732,711.4444444444445,686.0,141.52937540512247,787.8759999999999,756.363,137.45712859490246,744.7619047619048,674.0,259.2076204053239
1100102,Großer Tiergarten,1101,853,768,11,159,85,378,80,609.9795321637426,580.5,190.38054559928065,521.375,538.5,62.08275007715797,636.0236220472441,625.0,129.49679560703788,768.1626016260162,754.0,133.83788664415167,827.4562727272726,798.047,186.95136636246394,834.078947368421,759.5,310.92471814070547
1100103,Lützowstraße,1008,795,666,19,27,21,402,13,549.2362728785358,529.0,168.74009822431677,506.10526315789474,511.0,138.81158082364826,647.0833333333334,641.0,120.50217990691637,680.8260869565217,684.0,93.03599116564469,740.0572857142859,747.023,82.39468550769575,779.3333333333334,739.5,292.1299066390519
1100104,Körnerstraße,431,378,315,3,23,21,176,11,576.2678571428571,548.5,182.83859845502383,468.6666666666667,435.0,88.44395588921458,647.2631578947369,618.0,173.63878282395552,666.1875,662.0,85.07817483546137,748.32,749.19,87.53679699532077,917.4117647058823,954.0,311.42155088070126
1100205,Wilhelmstraße,663,561,469,1,56,37,265,23,601.5441860465116,567.0,181.2200085979351,,,,635.4883720930233,634.0,105.69776591165677,760.3265306122449,742.0,118.52133910452267,849.5272580645163,809.417,179.13856690170837,812.0,797.5,184.6793210213402
1100206,Unter den Linden,1684,1427,1274,20,158,82,709,71,600.4095652173913,569.0,180.28239644284113,545.0588235294117,499.0,172.03323464821966,621.3333333333334,603.0,154.065053508147,753.3779527559055,729.0,137.97336579496567,826.5437684210526,782.327,159.21224564929196,910.2166666666667,936.0,367.4501738004606
1100207,Leipziger Straße,1242,1105,922,20,88,41,536,31,590.9449101796407,558.0,177.19582125937526,545.1333333333333,544.0,90.22105128648244,617.3709677419355,582.0,111.54992029168335,724.4590163934427,712.0,113.57531624000171,1271.1564857142857,707.473,3233.379854509113,852.3103448275862,746.0,355.26872157849715
1100308,Charitéviertel,1933,1001,861,16,125,58,448,44,586.5407209612817,547.0,210.53174976180745,525.5714285714286,493.0,130.83431907423622,565.5,546.0,108.8766230538909,721.62,698.5,144.28127551642473,825.2390862068962,791.7935,195.09513401192967,1043.9761904761904,988.0,473.01417954795625
1100309,Oranienburger Straße,1689,1362,1198,24,118,57,693,42,591.2051517939283,558.0,183.66493847091957,529.8,494.0,132.500242587379,586.563829787234,575.5,122.91351610416565,677.5952380952381,655.5,110.749050859173,739.7924693877551,714.77,120.43079277606257,935.7916666666666,899.0,415.4797769271822
1100310,Alexanderplatzviertel,4007,3679,3282,56,186,121,2053,75,554.9541907024093,517.0,186.44362961772697,442.0,414.0,119.5502323900549,552.3333333333334,534.5,145.7564785831184,705.733870967742,689.5,134.9764874960217,740.7419404761904,706.877,154.08983669786508,867.483870967742,784.0,394.13732469189915
1100311,Karl-Marx-Allee,1496,1338,1122,25,94,56,697,48,555.6626746506986,518.5,204.35778888545886,458.0952380952381,447.0,154.6712335122161,547.875,515.0,160.7790063686453,695.5873015873016,675.0,142.8311246148057,742.1795818181819,723.41,144.50580627507935,1003.9777777777778,1037.0,469.0865634831209
1100312,Heine-Viertel West,1112,1030,850,17,44,28,493,9,592.346002621232,541.0,208.09591928036244,497.1333333333333,482.0,99.153464507346,549.0,550.0,128.25560416605583,756.375,717.5,189.36020712778662,816.0599285714286,786.245,219.6193550033135,883.0,845.0,396.731912664353
1100313,Heine-Viertel Ost,1007,901,735,7,68,30,506,32,544.4404761904761,516.5,156.55565957203595,482.1666666666667,449.0,182.6695559382205,539.9333333333333,508.0,127.98462265586298,642.625,579.0,165.04552885717533,720.2930285714286,716.15,156.0992125743198,791.2608695652174,767.0,264.89590020357815
1100414,Nordbahnhof,342,298,233,2,23,8,138,3,567.9252336448598,516.5,202.5816337366493,326.0,326.0,,521.0,501.0,92.23623913367136,645.4,640.0,123.0042361273105,709.389,717.837,14.739014654989699,1024.5,1071.5,426.8539562895019
1100415,Invalidenstraße,1092,990,847,20,48,47,519,19,584.1040312093628,549.0,194.35317963503726,477.05882352941177,506.0,91.26436228632407,541.8684210526316,545.0,78.78508949775507,655.9428571428572,641.0,141.5508519842922,800.3980434782608,736.954,317.03376361538284,916.6153846153846,723.0,435.0760741334794
1100416,Arkonaplatz,913,806,682,12,37,55,385,16,571.860197368421,541.0,177.70440404529765,433.2,426.0,82.65698868079926,521.84375,503.0,78.6495326873306,609.24,541.0,177.28702716216998,751.6573333333332,752.5084999999999,126.91347547049521,958.05,948.5,455.8134993106788
1200517,Huttenkiez,738,627,536,15,57,49,274,23,613.4057971014493,577.0,196.63624854075806,494.0769230769231,464.0,68.85184763735046,587.4102564102565,586.0,95.85590005966411,684.5,683.5,145.87110333400096,775.2251153846153,762.6005,130.17032713251567,775.9487179487179,649.0,296.54714267256134
1200518,Beusselkiez,810,744,604,14,26,27,319,8,599.499095840868,577.0,168.61202491172799,547.0,559.5,116.02899324189308,578.5,513.5,155.23236851666638,655.4117647058823,635.0,107.00061846990033,695.263875,685.367,59.02502944015121,814.56,699.0,313.5737659095013
1200519,Emdener Straße,904,840,676,11,24,31,304,7,622.1024390243903,602.0,176.46278615141946,593.3333333333334,539.0,234.10093976744304,602.8461538461538,548.0,169.92000380269442,725.0833333333334,739.5,171.66905705896784,710.74625,693.5519999999999,108.17754353013515,820.5357142857143,731.5,330.29857224244375
1200520,Bremer Straße,977,880,730,19,64,27,387,8,594.158950617284,568.0,175.97270683805203,485.35714285714283,470.0,101.29895370623541,526.9473684210526,545.0,62.97925027270713,692.6521739130435,611.0,194.44550736894996,1165.6011999999998,681.5695000000001,1420.8710307119363,808.0416666666666,729.0,312.1155693380073
1200521,Zwinglistraße,621,576,444,6,17,21,259,6,574.1876543209877,547.0,174.8677558197188,446.8,461.0,108.20212567228059,493.7,440.0,114.47469395266168,632.5,654.0,111.91390540152831,652.5269999999999,627.5944999999999,74.6105956121515,582.9444444444445,484.0,286.7572189403069
1200522,Elberfelder Straße,1142,1042,839,13,32,51,483,8,566.8514588859416,541.5,189.24708359688748,597.4444444444445,545.0,266.10388531131554,571.6,439.0,357.1585882249749,603.0,582.0,65.81378689495496,683.9834999999999,688.742,75.96356787490772,619.4615384615385,489.0,342.0136074665856
1200623,Stephankiez,1228,1098,907,10,51,54,502,17,604.7377830750894,566.0,193.8144682559635,459.9,435.5,85.62249185296531,535.1463414634146,517.0,99.08091667309344,654.6571428571428,610.0,139.1142025263338,772.4832173913043,733.323,161.3215322267801,810.6744186046511,690.0,331.7633781656979
1200624,Heidestraße,535,463,385,5,36,32,210,10,588.8662790697674,546.5,207.65699634426167,469.4,484.0,84.93409209498857,569.7333333333333,559.5,116.26721106062575,728.2,707.0,149.4977703289696,844.4237333333334,835.156,131.35175014575321,769.0,698.0,299.0266352207251
1200625,Lübecker Straße,889,826,670,13,27,28,394,11,591.6754098360656,545.5,195.04573894610064,504.375,520.5,70.03863729603621,613.0,545.0,238.51880894852343,645.9473684210526,634.0,122.77281353251644,659.407909090909,658.18,99.16223990557549,903.2727272727273,917.0,326.8011164255252
1200626,Thomasiusstraße,724,657,536,16,31,34,335,7,558.6307053941908,518.5,164.9289916226734,495.9375,492.0,92.55806735954101,514.9375,521.5,117.52529869493347,685.3333333333334,679.0,142.17879421281336,809.6018750000002,655.4580000000001,538.4824622703106,761.1379310344828,640.0,320.13632410248636
