planning_room_id,planning_room_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std
1100101,Stülerstraße,712,452,414,6,51,18,174,24,633.6410256410256,602.0,219.09294028680273,732.0,608.5,285.3080206840787,597.2558139534884,588.0,107.30821053734172,711.5238095238095,673.0,165.53950793563632,827.2891,768.3305,229.1128674044738,676.1538461538462,675.0,217.5407418369588
1100102,Großer Tiergarten,1601,1382,1328,14,152,65,529,62,671.9113257243196,620.0,261.00055559519427,574.3076923076923,585.0,89.74443772493146,625.6638655462185,620.0,136.12022834462164,773.8859649122807,735.0,201.4649779078165,836.5694470588238,808.23,131.40127927020112,775.0754716981132,771.0,249.16984082970424
1100103,Lützowstraße,1097,871,796,12,45,33,365,18,615.5393586005831,587.5,217.22215221321872,448.1818181818182,458.0,114.5362983353471,644.6944444444445,616.5,184.39039631707575,702.3823529411765,699.5,137.38643016796053,808.3278181818182,782.825,105.19129352422044,899.4615384615385,809.5,318.2974999297645
1100104,Körnerstraße,445,399,363,4,24,22,141,5,641.3737704918033,608.0,229.1787209839845,472.5,498.0,116.64333099953322,658.3125,647.0,74.92993949906361,784.625,746.0,131.09837273335367,870.4625,849.7470000000001,129.05885098999272,851.8235294117648,842.0,163.1415165179137
1100205,Wilhelmstraße,924,798,754,4,91,35,286,42,655.7518910741301,625.0,208.85619712128218,640.0,593.0,165.1383258564367,599.8055555555555,612.0,110.9967185010299,717.6447368421053,731.0,137.29051474372324,778.9745454545454,773.5564999999999,89.97197385218551,851.75,788.0,270.115635463294
1100206,Unter den Linden,2320,2027,1974,16,212,78,771,104,655.2648930017351,624.0,218.36078691769097,523.6923076923077,528.0,105.7933399096123,612.8934911242603,607.0,138.81141032333684,766.1497005988024,742.0,167.86230834574758,821.3912396694215,779.08,215.85126220586963,848.9074074074074,810.0,248.43238847261492
1100207,Leipziger Straße,1402,1228,1125,16,113,59,484,54,639.0140703517588,605.0,201.39123211613406,508.5,509.5,109.63839164762005,578.3444444444444,561.0,105.54621556680468,724.4615384615385,701.0,119.18392021412468,772.54090625,758.3615,142.72569910098215,879.8260869565217,742.5,375.76809067696854
1100308,Charitéviertel,2174,1218,1147,7,140,67,561,41,614.3502487562189,573.0,233.27729748595013,500.2,474.0,184.8585946067967,575.3207547169811,544.5,133.79618808505583,733.3818181818182,715.5,156.46179483941222,816.9374499999998,798.5835,153.77833494345202,915.3725490196078,818.0,403.2853560834717
1100309,Oranienburger Straße,2230,1814,1702,16,188,89,712,56,643.1093117408907,608.5,222.92803556798296,501.0,511.0,136.08575727581976,585.4609929078014,591.0,101.97552351495895,713.0215827338129,674.0,153.42082259645346,768.1289696969696,723.4235000000001,191.82321764510718,999.0655737704918,997.0,446.81863840759297
1100310,Alexanderplatzviertel,5077,4708,4504,43,259,110,2058,103,626.0333505687694,586.0,230.7475997630859,443.75,461.0,123.64439123498879,555.6632124352332,545.0,113.85711780579719,721.8112244897959,702.5,147.19528307844723,794.66774015748,747.226,184.8478179506442,969.9102564102565,938.0,386.198730414743
